date,time, close
1-May-12, 5:00 am, 58.13
30-Apr-12, 5:00 am, 53.98
27-Apr-12, 5:00 am, 67.00
26-Apr-12, 5:00 am, 89.70
25-Apr-12, 5:00 am, 99.00
24-Apr-12, 5:00 am, 130.28
23-Apr-12, 5:00 am, 166.70
20-Apr-12, 5:00 am, 234.98
19-Apr-12, 5:00 am, 345.44
18-Apr-12, 5:00 am, 443.34
17-Apr-12, 5:00 am, 543.70
16-Apr-12, 5:00 am, 580.13
13-Apr-12, 5:00 am, 605.23
12-Apr-12, 5:00 am, 622.77
11-Apr-12, 5:00 am, 626.20
10-Apr-12, 5:00 am, 628.44
9-Apr-12, 5:00 am, 636.23
5-Apr-12, 5:00 am, 633.68
4-Apr-12, 5:00 am, 624.31
3-Apr-12, 5:00 am, 629.32
2-Apr-12, 5:00 am, 618.63
30-Mar-12, 5:00 am, 599.55
29-Mar-12, 5:00 am, 609.86
28-Mar-12, 5:00 am, 617.62
27-Mar-12, 5:00 am, 614.48
26-Mar-12, 5:00 am, 606.98
